Carimbo de data/hora,Razão Social Cliente,CNPJ do Cliente,Valor do boleto:,Data de Vencimento,Tipo de produto:,Motivo:,QUEM SOLICITOU,Cliente novo?,Obsevações,Emissão por qual CNPJ?,Endereço de e-mail
11/17/2025,SIEMENS INDUSTRY SOFTWARE LTDA.,02.283.647/0001-01,"R$ 572,70",2/23/2026,movel/assessoria,emissão apenas da nota fiscal,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
12/2/25 10:27,DREBES CIA LTDA (VIVO),96.662.168/0001-31,"R$ 13.420,52",1/10/2026,Aluguel,Emissão nota e boleto,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
12/2/25 10:27,DREBES CIA LTDA (TIM),96.662.168/0001-31,"R$ 45,99",1/30/2026,Aluguel,Emissão nota e boleto,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
12/4/2025,SINDICATO DOS SERVIDORES MUNICIPAIS DE TORRES,90.800.590/0001-20,"R$ 889,27",1/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
12/4/2025,LUNDBECK BRASIL LTDA,04.522.600/0001-70,"R$ 504,00",1/12/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
12/9/2025,COOPERATIVA AGRICOLA MISTA NOVA PALMA LTDA,91.022.632/0001-01,"R$ 2.000,00",1/6/2026,movel/assessoria,boleto e nf,francine,nao,,,suporte2@luxustelefonia.com.br
12/9/2025,TABACUM INTERAMERICAN COMERCIO E EXPORTACAO DE FUMOS LTDA,05.648.120/0003-85,"R$ 200,00",1/8/2026,movel/assessoria,boleto e nf,francine,nao,,,suporte2@luxustelefonia.com.br
12/9/2025,ENGELUX CONSTRUTORA LTDA,44.023.760/0001-90,"R$ 200,60",1/5/2026,movel/assessoria,boleto e nf,francine,nao,,,suporte2@luxustelefonia.com.br
11-dez.,SOLTEC,23.294.509/0001-90,"R$ 235,20",1/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
12/16/2026,SIEMENS INDUSTRY SOFTWARE LTDA.,02.283.647/0001-01,"R$ 586,50",3/23/2026,movel/assessoria,emissão apenas da nota fiscal,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
16-dez.,SINDICATO SERV MUNIC SÃO MARCOS,07.362.420/0001-67,"R$ 1.210,95",1/10/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
16-dez.,ASSOCIACAO DOS SERVIDORES DO BANCO CENTRAL - ASBAC PORTO ALEGRE,02.492.319/0001-07,"R$ 2.092,40",1/9/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
16-dez.,SANTA CASA DE MISERICóRDIA DA BAHIA,15.153.745/0001-68,"R$ 683,80",1/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
12/19/2025,SINDICATO DOS PROFESSORES MUNICIPAIS LEOPOLDENSES - CEPROL,92.932.763/0001-99,"R$ 26.883,25",1/10/2026,Aluguel,nf e boleto,bruna,não,,telefonia,bruna@luxustelefonia.com.br
12/23/25 8:54,ALIBEM ALIMENTOS S.A.,03.941.052/0001-50,"R$ 1.997,40",1/10/2026,Movel/Assessoria,Emissão nota e boleto,Jenifer/Gabi,Não,,,meline@luxustelefonia.com.br
1/6/26 9:24,E2R REPRESENTACOES COMERCIAIS LTDA,10.451.213/0001-93,"R$ 385,55",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,CASA DAS FECHADURAS ADROFECHA LTDA,92.613.413/0001-60,"R$ 754,48",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,CORREA ZAMPIERI ENGENHARIA LTDA,00.999.960/0001-07,"R$ 1.155,58",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,CONSTRUSUL - INDUSTRIA E COMERCIO DE MATERIAIS DE CONSTRUCAO E SERVICOS DE CONCRETAGEM LTDA,07.483.896/0001-56,"R$ 457,79",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,DEMARCHI DEMARCHI LTDA,93.052.223/0001-83,"R$ 61,32",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,POLIDADOS INFORMATICA LTDA,04.782.491/0001-20,"R$ 488,53",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,OIW INDUSTRIA ELETRONICA SA,07.212.549/0001-99,"R$ 63,97",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,MARCHER BRASIL AGROINDUSTRIAL SA,06.221.454/0001-79,"R$ 2.450,47",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,ESTANCIA DA FIGUEIRA COMERCIO DE HORTIFRUTIGRANJEIROS LTDA,08.492.170/0001-42,"R$ 775,68",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,FABIANO CORBELLINI E CIA LTDA,02.119.759/0001-13,"R$ 483,99",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,FREE TINTAS LTDA,05.577.086/0001-33,"R$ 4.493,99",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,JETSUL-COMERCIO E EQUIPAMENTOS DE INF. LTDA,00.849.925/0001-01,"R$ 407,70",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,JORNAL A HORA LTDA,04.280.850/0001-41,"R$ 158,39",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,LEDUR IMPORTACAO E EXPORTACAO DE PEDRAS PRECIOSAS E SEMI PRECIOSAS LTDA,06.934.436/0001-34,"R$ 705,98",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,SIND.EMPREGADOS EM ESTAB.DE SERVICOS DE SAUDE DE LAJEADO E VALE DO TAQUARI,92.892.538/0001-76,"R$ 373,22",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,ASSOCIACAO DE CRIADORES DE SUINOS DO RIO GRANDE DO SUL,87.245.163/0001-12,"R$ 1.142,74",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,WINGS CONSULTORIA E REPRESENTACOES LTDA,36.736.488/0001-67,"R$ 214,95",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,IMOBILIARIA REI DO IMOVEL LTDA,11.806.302/0001-78,"R$ 827,64",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,MARIA EDUARDA CORTEZ DESIGN DE INTERIORES LTDA,46.609.234/0001-31,"R$ 200,28",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,Blaster Detonacoes LTDA,13.962.167/0001-85,"R$ 226,91",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,REFRICOMP - INDUSTRIA DE COMPONENTES PARA REFRIGERACAO LTDA,07.417.647/0001-62,"R$ 3.247,25",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,GAS ZIMMER DISTRIBUIDORA DOS VALES LTDA,39.831.325/0001-51,"R$ 341,76",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,ENOVA INDUSTRIA DE CALCADOS LTDA,32.013.159/0001-37,"R$ 558,58",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,MARTINA INDUSTRIA DE CALCADOS LTDA,35.957.750/0001-30,"R$ 247,37",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,CMAK AGROINDUSTRIA E COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA,22.779.620/0001-03,"R$ 1.239,69",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,GRAFICA LAJEADENSE LTDA,88.057.187/0001-00,"R$ 451,67",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,IRMAOS CIOCCARI E CIA LTDA,87.675.831/0001-41,"R$ 3.611,05",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,TRANSPORTADORA SANTA CRUZ BRUNETTO LTDA,42.450.799/0001-68,"R$ 161,91",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,AG COMERCIO DE PNEUS LTDA,24.061.393/0001-01,"R$ 363,82",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,SINDICATO DOS ENGENHEIROS NO ESTADO DO RIO GRANDE DO SUL,92.675.362/0001-09,"R$ 1.779,78",1/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,JORNAL NOSSA GENTE VALE DO TAQUARI,01.236.346/0001-56,"R$ 92,94",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,GUINCHO 2001 LTDA,54.276.526/0001-28,"R$ 58,97",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,G e A DISTRIBUIDORA DE PECAS E ACESSORIOS LTDA - TOGNI,04.470.511/0001-28,"R$ 508,72",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,VIRTUAL SLICE TELECOM LTDA,12.029.589/0001-30,"R$ 1.448,70",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,TK CALCADOS LTDA,54.508.099/0001-66,"R$ 107,94",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,ASTECA INDUSTRIA E COMERCIO DE JOIAS LTDA,06.202.742/0001-86,"R$ 579,94",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,FPD COMERCIO OTICO LTDA,37.056.522/0001-15,"R$ 49,85",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
1/6/26 9:24,FABI COMERCIO DE COMPENSADOS LTDA,94.506.664/0001-70,"R$ 96,95",1/10/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
